Survey Response,Journal Name,Other Journal,Date,Professional Status,Gender (optional),Race/Ethnic Background (optional),Review Time in Months,Initial Verdict,Sets of Reviewer Comments Initially Provided,Quality of Referee Comments,Overall Experience with Editors,Revise and Resubmit Verdict (also Conditional Acceptance),Time from Acceptance to Publication,Field 13,Journals,Acceptances,Rejections,Conditional Acceptances,Revise and Resubmits,Overall Acceptance,Initial withdrawals,Revise and Resubmit Withdrawals
Synthese2009-12-03T05:00:00.000Z,Synthese,,12/3/2009 12:00am,Other,Male,,1.40,Reject,2.0,4.0,5.0,,,,,,Reject,,,,,
American Philosophical Quarterly2009-12-04T05:00:00.000Z,American Philosophical Quarterly,,12/4/2009 12:00am,Graduate Student,Male,,5.00,Conditional Acceptance,1.0,5.0,5.0,Accept,6.0,,,,,Conditional Acceptance,,Accept,,
Australasian Journal of Logic2009-12-04T05:00:00.000Z,Australasian Journal of Logic,,12/4/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,3.00,Conditional Acceptance,1.0,5.0,5.0,,3.0,,,,,Conditional Acceptance,,,,
Journal of Moral Philosophy2009-12-04T05:00:00.000Z,Journal of Moral Philosophy,,12/4/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,0.75,Reject,,,4.0,,,,,,Reject,,,,,
Philosophical Quarterly2009-12-04T05:00:00.000Z,Philosophical Quarterly,,12/4/2009 12:00am,Faculty (Non-tenure-track position),Male,Caucasian,1.30,Reject,,,4.0,,,,,,Reject,,,,,
Philosophers’ Imprint2009-12-05T05:00:00.000Z,Philosophers’ Imprint,,12/5/2009 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Reject,2.0,4.0,4.0,,,,,,Reject,,,,,
Philosophical Studies2009-12-05T05:00:00.000Z,Philosophical Studies,,12/5/2009 12:00am,Faculty (Non-tenure-track position),Male,,,Reject,,,1.0,,,,,,Reject,,,,,
Philosophical Studies2009-12-05T05:00:00.000Z,Philosophical Studies,,12/5/2009 12:00am,Faculty (Non-tenure-track position),,,3.00,Revise and Resubmit,1.0,5.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
The Reasoner2009-12-05T05:00:00.000Z,The Reasoner,,12/5/2009 12:00am,Graduate Student,Male,,0.50,Conditional Acceptance,1.0,4.0,4.0,Accept,1.0,,,,,Conditional Acceptance,,Accept,,
Ethical Theory and Moral Practice2009-12-06T05:00:00.000Z,Ethical Theory and Moral Practice,,12/6/2009 12:00am,Faculty (Tenured),Male,,4.00,Reject,2.0,2.0,3.0,,,,,,Reject,,,,,
Religious Studies2009-12-06T05:00:00.000Z,Religious Studies,,12/6/2009 12:00am,Faculty (Tenured),Male,,4.00,Reject,1.0,1.0,1.0,,,,,,Reject,,,,,
Journal of Ethics2009-12-06T05:00:00.000Z,Journal of Ethics,,12/6/2009 12:00am,Faculty (Tenured),Male,,4.00,Reject,1.0,4.0,1.0,,,,,,Reject,,,,,
European Journal of Philosophy2009-12-07T05:00:00.000Z,European Journal of Philosophy,,12/7/2009 12:00am,Other,,,1.25,Reject,,,3.0,,,,,,Reject,,,,,
Philosophers’ Imprint2009-12-07T05:00:00.000Z,Philosophers’ Imprint,,12/7/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,4.00,Revise and Resubmit,2.0,5.0,5.0,Accept,9.0,,,,,,Revise and Resubmit,Accept,,
Philosophers’ Imprint2009-12-07T05:00:00.000Z,Philosophers’ Imprint,,12/7/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,4.00,Revise and Resubmit,2.0,5.0,5.0,Accept,9.0,,,,,,Revise and Resubmit,Accept,,
Ancient Philosophy2009-12-08T05:00:00.000Z,Ancient Philosophy,,12/8/2009 12:00am,Faculty (Tenure-track but non-tenured),,,5.00,Accept,1.0,5.0,5.0,,,,,Accept,,,,,,
European Journal of Philosophy2009-12-08T05:00:00.000Z,European Journal of Philosophy,,12/8/2009 12:00am,Faculty (Non-tenure-track position),,,2.00,Reject,,,4.0,,,,,,Reject,,,,,
Philosophical Quarterly2009-12-08T05:00:00.000Z,Philosophical Quarterly,,12/8/2009 12:00am,Graduate Student,Male,,1.00,Reject,,,2.0,,,,,,Reject,,,,,
"""Politics, Philosophy, and Economics""2009-12-08T05:00:00.000Z","""Politics, Philosophy, and Economics""",,12/8/2009 12:00am,Faculty (Non-tenure-track position),Male,,2.50,Reject,1.0,5.0,4.0,,,,,,Reject,,,,,
American Society for Aesthetics Graduate E-Journal (ASAGE)2009-12-09T05:00:00.000Z,American Society for Aesthetics Graduate E-Journal (ASAGE),,12/9/2009 12:00am,Graduate Student,Male,,,Revise and Resubmit,1.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Australasian Journal of Philosophy2009-12-10T05:00:00.000Z,Australasian Journal of Philosophy,,12/10/2009 12:00am,Faculty (Non-tenure-track position),Male,,1.30,Reject,1.0,3.0,5.0,,,,,,Reject,,,,,
Ethics2009-12-10T05:00:00.000Z,Ethics,,12/10/2009 12:00am,Graduate Student,,,0.75,Reject,1.0,4.0,5.0,,,,,,Reject,,,,,
Mind2009-12-10T05:00:00.000Z,Mind,,12/10/2009 12:00am,,Male,white,7.00,Revise and Resubmit,2.0,3.0,3.0,Reject,,,,,,,Revise and Resubmit,,,
Philosophers’ Imprint2009-12-11T05:00:00.000Z,Philosophers’ Imprint,,12/11/2009 12:00am,Faculty (Tenured),Male,White British,3.00,Accept,3.0,5.0,5.0,,,,,Accept,,,,,,
Analysis2009-12-12T05:00:00.000Z,Analysis,,12/12/2009 12:00am,Graduate Student,Male,,0.25,Reject,,,4.0,,,,,,Reject,,,,,
Analysis2009-12-12T05:00:00.000Z,Analysis,,12/12/2009 12:00am,Graduate Student,Male,,0.50,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Mind2009-12-12T05:00:00.000Z,Mind,,12/12/2009 12:00am,,Male,Caucasian,4.00,Reject,3.0,5.0,5.0,,,,,,Reject,,,,,
Bioethics2009-12-13T05:00:00.000Z,Bioethics,,12/13/2009 12:00am,Faculty (Tenured),Female,,6.00,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Ethical Theory and Moral Practice2009-12-14T05:00:00.000Z,Ethical Theory and Moral Practice,,12/14/2009 12:00am,Graduate Student,Male,White,7.50,Revise and Resubmit,2.0,1.0,5.0,Withdraw,,,,,,,Revise and Resubmit,,,Withdraw
Mind2009-12-14T05:00:00.000Z,Mind,,12/14/2009 12:00am,,Male,,6.00,Reject,3.0,5.0,4.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2009-12-14T05:00:00.000Z,Philosophy and Phenomenological Research,,12/14/2009 12:00am,Graduate Student,Male,,1.25,Reject,,,4.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2009-12-14T05:00:00.000Z,Philosophy and Phenomenological Research,,12/14/2009 12:00am,Graduate Student,Female,,1.30,Reject,,,2.0,,,,,,Reject,,,,,
Philosophical Quarterly2009-12-15T05:00:00.000Z,Philosophical Quarterly,,12/15/2009 12:00am,Faculty (Tenure-track but non-tenured),,,3.00,Reject,1.0,3.0,5.0,,,,,,Reject,,,,,
Nous2009-12-16T05:00:00.000Z,Nous,,12/16/2009 12:00am,Faculty (Non-tenure-track position),Male,,1.75,Reject,,,,,,,,,Reject,,,,,
Southern Journal of Philosophy2009-12-16T05:00:00.000Z,Southern Journal of Philosophy,,12/16/2009 12:00am,Faculty (Tenure-track but non-tenured),,,1.50,Reject,2.0,4.0,5.0,,,,,,Reject,,,,,
Apeiron2009-12-17T05:00:00.000Z,Apeiron,,12/17/2009 12:00am,Faculty (Non-tenure-track position),Male,,13.00,Accept,1.0,3.0,3.0,,5.0,,,Accept,,,,,,
Dao2009-12-17T05:00:00.000Z,Dao,,12/17/2009 12:00am,Faculty (Tenured),Male,Asian,2.00,Reject,2.0,5.0,5.0,,,,,,Reject,,,,,
Philosophical Quarterly2009-12-17T05:00:00.000Z,Philosophical Quarterly,,12/17/2009 12:00am,Graduate Student,Male,white,1.00,Reject,,,,,,,,,Reject,,,,,
Phronesis2009-12-17T05:00:00.000Z,Phronesis,,12/17/2009 12:00am,Faculty (Non-tenure-track position),Male,,7.00,Accept,1.0,4.0,4.0,,5.0,,,Accept,,,,,,
Australasian Journal of Philosophy2009-12-19T05:00:00.000Z,Australasian Journal of Philosophy,,12/19/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,7.00,Revise and Resubmit,2.0,5.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Quarterly2009-12-19T05:00:00.000Z,Philosophical Quarterly,,12/19/2009 12:00am,Graduate Student,Male,white,2.00,Reject,1.0,2.0,5.0,,,,,,Reject,,,,,
Prolegomena – Journal of Philosophy2009-12-19T05:00:00.000Z,Prolegomena – Journal of Philosophy,,12/19/2009 12:00am,Graduate Student,Male,white,8.00,Conditional Acceptance,1.0,3.0,4.0,Accept,1.0,,,,,Conditional Acceptance,,Accept,,
Social Theory and Practice2009-12-19T05:00:00.000Z,Social Theory and Practice,,12/19/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,3.00,Revise and Resubmit,2.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
American Philosophical Quarterly2009-12-21T05:00:00.000Z,American Philosophical Quarterly,,12/21/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.00,Reject,1.0,1.0,5.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2009-12-21T05:00:00.000Z,Australasian Journal of Philosophy,,12/21/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Canadian Journal of Philosophy2009-12-21T05:00:00.000Z,Canadian Journal of Philosophy,,12/21/2009 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
European Journal of Philosophy2009-12-21T05:00:00.000Z,European Journal of Philosophy,,12/21/2009 12:00am,Other,Male,white,2.00,Accept,1.0,4.0,5.0,,18.0,,,Accept,,,,,,
European Journal of Philosophy2009-12-21T05:00:00.000Z,European Journal of Philosophy,,12/21/2009 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Revise and Resubmit,1.0,4.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Faith and Philosophy2009-12-21T05:00:00.000Z,Faith and Philosophy,,12/21/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,5.00,Revise and Resubmit,3.0,3.0,5.0,Reject,,,,,,,Revise and Resubmit,,,
International Philosophical Quarterly2009-12-21T05:00:00.000Z,International Philosophical Quarterly,,12/21/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,2.00,Accept,1.0,3.0,4.0,,,,,Accept,,,,,,
Mind2009-12-21T05:00:00.000Z,Mind,,12/21/2009 12:00am,,Male,,4.00,Reject,3.0,5.0,4.0,,,,,,Reject,,,,,
Philosophical Studies2009-12-21T05:00:00.000Z,Philosophical Studies,,12/21/2009 12:00am,Other,Male,white,7.00,Reject,,,1.0,,,,,,Reject,,,,,
Ethics2009-12-22T05:00:00.000Z,Ethics,,12/22/2009 12:00am,Faculty (Tenure-track but non-tenured),Female,,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Journal of Philosophy2009-12-22T05:00:00.000Z,Journal of Philosophy,,12/22/2009 12:00am,Faculty (Tenure-track but non-tenured),Female,,12.00,Accept,,,2.0,,12.0,,,Accept,,,,,,
Philosophy and Public Affairs2009-12-22T05:00:00.000Z,Philosophy and Public Affairs,,12/22/2009 12:00am,Faculty (Tenure-track but non-tenured),Female,,,Reject,,,3.0,,,,,,Reject,,,,,
Analysis2009-12-23T05:00:00.000Z,Analysis,,12/23/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,0.20,Reject,,,3.0,,,,,,Reject,,,,,
Inquiry2009-12-23T05:00:00.000Z,Inquiry,,12/23/2009 12:00am,Graduate Student,Male,Caucasian,4.25,Revise and Resubmit,3.0,3.0,4.0,Reject,,,,,,,Revise and Resubmit,,,
Philosophers’ Imprint2009-12-23T05:00:00.000Z,Philosophers’ Imprint,,12/23/2009 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.00,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Studies2009-12-24T05:00:00.000Z,Philosophical Studies,,12/24/2009 12:00am,Faculty (Tenured),Female,,3.00,Revise and Resubmit,1.0,4.0,3.0,Reject,,,,,,,Revise and Resubmit,,,
Biology and Philosophy2009-12-25T05:00:00.000Z,Biology and Philosophy,,12/25/2009 12:00am,Faculty (Non-tenure-track position),Male,white,1.00,Accept,1.0,2.0,5.0,,2.0,,,Accept,,,,,,
British Journal for the Philosophy of Science2009-12-25T05:00:00.000Z,British Journal for the Philosophy of Science,,12/25/2009 12:00am,Faculty (Non-tenure-track position),Male,white,2.50,Revise and Resubmit,2.0,4.0,4.0,Accept,6.5,,,,,,Revise and Resubmit,Accept,,
Theoria2009-12-27T05:00:00.000Z,Theoria,,12/27/2009 12:00am,Graduate Student,,,2.00,Revise and Resubmit,2.0,,4.0,Accept,1.5,,,,,,Revise and Resubmit,Accept,,
Journal of Ethics & Social Philosophy2009-12-30T05:00:00.000Z,Journal of Ethics & Social Philosophy,,12/30/2009 12:00am,Graduate Student,Male,white,0.75,Reject,,,4.0,,,,,,Reject,,,,,
Journal of Political Philosophy2009-12-30T05:00:00.000Z,Journal of Political Philosophy,,12/30/2009 12:00am,Graduate Student,Female,,0.50,Reject,,,5.0,,,,,,Reject,,,,,
American Society for Aesthetics Graduate E-Journal (ASAGE)2010-01-02T05:00:00.000Z,American Society for Aesthetics Graduate E-Journal (ASAGE),,1/2/2010 12:00am,Graduate Student,Male,White,2.00,Conditional Acceptance,1.0,4.0,5.0,Accept,0.5,,,,,Conditional Acceptance,,Accept,,
American Society for Aesthetics Graduate E-Journal (ASAGE)2010-01-02T05:00:00.000Z,American Society for Aesthetics Graduate E-Journal (ASAGE),,1/2/2010 12:00am,Graduate Student,Male,White,2.00,Conditional Acceptance,1.0,4.0,5.0,Accept,0.5,,,,,Conditional Acceptance,,Accept,,
Erkenntnis2010-01-03T05:00:00.000Z,Erkenntnis,,1/3/2010 12:00am,Faculty (Tenured),Male,,5.00,Reject,2.0,1.0,1.0,,,,,,Reject,,,,,
Journal of Philosophy2010-01-03T05:00:00.000Z,Journal of Philosophy,,1/3/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,White,9.00,Accept,1.0,2.0,2.0,,,,,Accept,,,,,,
Mind and Language2010-01-03T05:00:00.000Z,Mind and Language,,1/3/2010 12:00am,Faculty (Non-tenure-track position),Female,,11.00,Reject,2.0,4.0,4.0,,,,,,Reject,,,,,
Philosophers’ Imprint2010-01-03T05:00:00.000Z,Philosophers’ Imprint,,1/3/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,5.00,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
American Philosophical Quarterly2010-01-05T05:00:00.000Z,American Philosophical Quarterly,,1/5/2010 12:00am,Faculty (Tenured),Male,Irish-American,0.80,Revise and Resubmit,1.0,4.0,5.0,,,,,,,,Revise and Resubmit,,,
Philosophy and Phenomenological Research2010-01-05T05:00:00.000Z,Philosophy and Phenomenological Research,,1/5/2010 12:00am,Other,Female,,2.25,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Philosophical Studies2010-01-07T05:00:00.000Z,Philosophical Studies,,1/7/2010 12:00am,Faculty (Non-tenure-track position),Male,,,Reject,1.0,2.0,5.0,,,,,,Reject,,,,,
Nous2010-01-08T05:00:00.000Z,Nous,,1/8/2010 12:00am,Graduate Student,Male,white,2.25,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy2010-01-09T05:00:00.000Z,Journal of Philosophy,,1/9/2010 12:00am,Faculty (Tenured),,,9.00,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Analysis2010-01-10T05:00:00.000Z,Analysis,,1/10/2010 12:00am,Other,Male,White,0.75,Reject,,,3.0,,,,,,Reject,,,,,
Ethics2010-01-10T05:00:00.000Z,Ethics,,1/10/2010 12:00am,Other,Male,White,0.20,Reject,,,3.0,Reject,,,,,Reject,,,,,
Philosophical Psychology2010-01-10T05:00:00.000Z,Philosophical Psychology,,1/10/2010 12:00am,Graduate Student,Male,White,5.50,Conditional Acceptance,2.0,4.0,4.0,Accept,10.0,,,,,Conditional Acceptance,,Accept,,
Journal of Philosophy2010-01-11T05:00:00.000Z,Journal of Philosophy,,1/11/2010 12:00am,Faculty (Tenure-track but non-tenured),Female,,5.50,Reject,,,3.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-01-12T05:00:00.000Z,Australasian Journal of Philosophy,,1/12/2010 12:00am,Faculty (Non-tenure-track position),Male,,3.50,Reject,1.0,3.0,2.0,,,,,,Reject,,,,,
Ethics2010-01-12T05:00:00.000Z,Ethics,,1/12/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,white,4.50,Revise and Resubmit,2.0,4.0,4.0,,,,,,,,Revise and Resubmit,,,
Philosophia: Philosophical Quarterly of Israel2010-01-12T05:00:00.000Z,Philosophia: Philosophical Quarterly of Israel,,1/12/2010 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Revise and Resubmit,2.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies2010-01-12T05:00:00.000Z,Philosophical Studies,,1/12/2010 12:00am,Faculty (Non-tenure-track position),Male,,2.50,Reject,,,,,,,,,Reject,,,,,
Philosophy of Science2010-01-12T05:00:00.000Z,Philosophy of Science,,1/12/2010 12:00am,Faculty (Non-tenure-track position),Male,,5.00,Conditional Acceptance,3.0,5.0,3.0,Reject,,,,,,Conditional Acceptance,,,,
Australasian Journal of Philosophy2010-01-13T05:00:00.000Z,Australasian Journal of Philosophy,,1/13/2010 12:00am,Other,Male,White,2.00,Revise and Resubmit,1.0,5.0,4.0,Reject,,,,,,,Revise and Resubmit,,,
Australasian Journal of Philosophy2010-01-13T05:00:00.000Z,Australasian Journal of Philosophy,,1/13/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,2.50,Reject,1.0,4.0,5.0,,,,,,Reject,,,,,
Journal of Philosophy2010-01-13T05:00:00.000Z,Journal of Philosophy,,1/13/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,caucasian,23.00,Reject,1.0,2.0,1.0,,,,,,Reject,,,,,
Journal of Philosophy2010-01-13T05:00:00.000Z,Journal of Philosophy,,1/13/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,white,24.00,Reject,1.0,3.0,2.0,,,,,,Reject,,,,,
Philosophers’ Imprint2010-01-13T05:00:00.000Z,Philosophers’ Imprint,,1/13/2010 12:00am,Faculty (Tenured),Male,,1.00,Reject,,,1.0,,,,,,Reject,,,,,
Philosophical Quarterly2010-01-13T05:00:00.000Z,Philosophical Quarterly,,1/13/2010 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Reject,,1.0,1.0,,,,,,Reject,,,,,
Philosophical Review2010-01-14T05:00:00.000Z,Philosophical Review,,1/14/2010 12:00am,Graduate Student,Male,,1.00,Withdraw,,,2.0,,,,,,,,,,Withdraw,
Studia Philosophica Estonica2010-01-14T05:00:00.000Z,Studia Philosophica Estonica,,1/14/2010 12:00am,Faculty (Non-tenure-track position),Male,caucasian,4.00,Revise and Resubmit,1.0,1.0,1.0,Reject,,,,,,,Revise and Resubmit,,,
Faith and Philosophy2010-01-15T05:00:00.000Z,Faith and Philosophy,,1/15/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,7.50,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Nous2010-01-15T05:00:00.000Z,Nous,,1/15/2010 12:00am,Faculty (Tenure-track but non-tenured),,,3.00,Reject,,,4.0,,,,,,Reject,,,,,
Oxford Studies in Ancient Philosophy2010-01-15T05:00:00.000Z,Oxford Studies in Ancient Philosophy,,1/15/2010 12:00am,Faculty (Non-tenure-track position),,,0.75,Reject,,,5.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2010-01-15T05:00:00.000Z,Philosophy and Phenomenological Research,,1/15/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.50,Reject,,,3.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2010-01-15T05:00:00.000Z,Philosophy and Phenomenological Research,,1/15/2010 12:00am,Faculty (Non-tenure-track position),Male,,1.40,Reject,,,4.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-01-16T05:00:00.000Z,Australasian Journal of Philosophy,,1/16/2010 12:00am,Graduate Student,Male,,0.25,Revise and Resubmit,1.0,5.0,5.0,Accept,1.0,,,,,,Revise and Resubmit,Accept,,
Philosophy and Phenomenological Research2010-01-16T05:00:00.000Z,Philosophy and Phenomenological Research,,1/16/2010 12:00am,Faculty (Non-tenure-track position),Male,,1.60,Accept,1.0,3.0,5.0,,,,,Accept,,,,,,
Philosophy and Phenomenological Research2010-01-17T05:00:00.000Z,Philosophy and Phenomenological Research,,1/17/2010 12:00am,Graduate Student,Male,,1.00,Reject,,,3.0,,,,,,Reject,,,,,
British Journal of Aesthetics2010-01-18T05:00:00.000Z,British Journal of Aesthetics,,1/18/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,White,3.50,Accept,1.0,3.0,4.0,,,,,Accept,,,,,,
Ratio2010-01-18T05:00:00.000Z,Ratio,,1/18/2010 12:00am,Faculty (Tenured),Male,Hispanic,2.50,Accept,,,5.0,,15.0,,,Accept,,,,,,
American Philosophical Quarterly2010-01-19T05:00:00.000Z,American Philosophical Quarterly,,1/19/2010 12:00am,Faculty (Tenured),Male,White,3.00,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Canadian Journal of Philosophy2010-01-19T05:00:00.000Z,Canadian Journal of Philosophy,,1/19/2010 12:00am,Faculty (Tenured),Male,White,4.00,Reject,2.0,4.0,4.0,,,,,,Reject,,,,,
Ethics2010-01-19T05:00:00.000Z,Ethics,,1/19/2010 12:00am,Faculty (Tenured),Male,White,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Journal of Applied Philosophy2010-01-19T05:00:00.000Z,Journal of Applied Philosophy,,1/19/2010 12:00am,Faculty (Tenured),Male,White,12.00,Revise and Resubmit,2.0,3.0,1.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Journal of Social Philosophy2010-01-19T05:00:00.000Z,Journal of Social Philosophy,,1/19/2010 12:00am,Faculty (Tenure-track but non-tenured),Female,,3.00,Revise and Resubmit,2.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Pacific Philosophical Quarterly2010-01-19T05:00:00.000Z,Pacific Philosophical Quarterly,,1/19/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,22.00,Reject,,,1.0,,,,,,Reject,,,,,
Pacific Philosophical Quarterly2010-01-19T05:00:00.000Z,Pacific Philosophical Quarterly,,1/19/2010 12:00am,Faculty (Tenured),Male,Hispanic,6.00,Reject,1.0,1.0,1.0,,,,,,Reject,,,,,
Philosophical Quarterly2010-01-19T05:00:00.000Z,Philosophical Quarterly,,1/19/2010 12:00am,Faculty (Tenured),Male,white,1.50,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Philosophy and Public Affairs2010-01-19T05:00:00.000Z,Philosophy and Public Affairs,,1/19/2010 12:00am,Faculty (Tenured),Male,White,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Studies2010-01-19T05:00:00.000Z,Philosophical Studies,,1/19/2010 12:00am,Faculty (Tenured),Male,white,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-01-20T05:00:00.000Z,Australasian Journal of Philosophy,,1/20/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,5.00,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Journal of Philosophy2010-01-20T05:00:00.000Z,Journal of Philosophy,,1/20/2010 12:00am,Faculty (Tenured),Male,,12.00,Reject,,,3.0,,,,,,Reject,,,,,
Journal of Ethics2010-01-20T05:00:00.000Z,Journal of Ethics,,1/20/2010 12:00am,Graduate Student,Male,white ,1.10,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Studies2010-01-22T05:00:00.000Z,Philosophical Studies,,1/22/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,9.00,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Mind and Language2010-01-23T05:00:00.000Z,Mind and Language,,1/23/2010 12:00am,Graduate Student,Male,white,2.00,Reject,1.0,5.0,4.0,,,,,,Reject,,,,,
Philosophical Studies2010-01-23T05:00:00.000Z,Philosophical Studies,,1/23/2010 12:00am,Faculty (Non-tenure-track position),Male,,5.00,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Philosophical Quarterly2010-01-24T05:00:00.000Z,Philosophical Quarterly,,1/24/2010 12:00am,Graduate Student,Male,,,,,,,Accept,,,,,,,,Accept,,
Philosophical Review2010-01-24T05:00:00.000Z,Philosophical Review,,1/24/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,3.50,Reject,,,4.0,,,,,,Reject,,,,,
Philosophers’ Imprint2010-01-25T05:00:00.000Z,Philosophers’ Imprint,,1/25/2010 12:00am,Faculty (Non-tenure-track position),Male,white,0.75,Reject,,,5.0,,,,,,Reject,,,,,
Philosophical Quarterly2010-01-26T05:00:00.000Z,Philosophical Quarterly,,1/26/2010 12:00am,Graduate Student,Male,Asian American,0.50,Reject,,,3.0,,,,,,Reject,,,,,
British Journal for the History of Philosophy2010-01-27T05:00:00.000Z,British Journal for the History of Philosophy,,1/27/2010 12:00am,Faculty (Non-tenure-track position),Male,,3.00,Accept,1.0,4.0,3.0,,27.0,,,Accept,,,,,,
Continental Philosophy Review2010-01-27T05:00:00.000Z,Continental Philosophy Review,,1/27/2010 12:00am,Faculty (Non-tenure-track position),Male,,1.50,Accept,1.0,4.0,4.0,,3.0,,,Accept,,,,,,
European Journal of Philosophy2010-01-27T05:00:00.000Z,European Journal of Philosophy,,1/27/2010 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Inquiry2010-01-27T05:00:00.000Z,Inquiry,,1/27/2010 12:00am,Faculty (Non-tenure-track position),Male,Caucasian,6.00,Accept,2.0,4.0,4.0,,,,,Accept,,,,,,
International Journal for Philosophy of Religion2010-01-27T05:00:00.000Z,International Journal for Philosophy of Religion,,1/27/2010 12:00am,Faculty (Non-tenure-track position),Male,,3.00,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Journal of Consciousness Studies2010-01-27T05:00:00.000Z,Journal of Consciousness Studies,,1/27/2010 12:00am,Faculty (Non-tenure-track position),Male,,2.50,Accept,1.0,5.0,5.0,,5.0,,,Accept,,,,,,
Kant-Studien2010-01-27T05:00:00.000Z,Kant-Studien,,1/27/2010 12:00am,Faculty (Tenured),Male,,8.00,Revise and Resubmit,1.0,4.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophers’ Imprint2010-01-27T05:00:00.000Z,Philosophers’ Imprint,,1/27/2010 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
Philosophical Quarterly2010-01-27T05:00:00.000Z,Philosophical Quarterly,,1/27/2010 12:00am,Faculty (Non-tenure-track position),Male,,4.00,Revise and Resubmit,2.0,5.0,3.0,,,,,,,,Revise and Resubmit,,,
Philosophical Quarterly2010-01-27T05:00:00.000Z,Philosophical Quarterly,,1/27/2010 12:00am,Graduate Student,,,2.00,Reject,2.0,4.0,5.0,,,,,,Reject,,,,,
Canadian Journal of Philosophy2010-01-28T05:00:00.000Z,Canadian Journal of Philosophy,,1/28/2010 12:00am,Faculty (Non-tenure-track position),Male,,6.00,Reject,1.0,5.0,3.0,,,,,,Reject,,,,,
